zeta,L,T,N_c,lam,dtau_mult,resample_scheme,n_populations,compatibility,tasks
0.35,32,32.0,1024,0.2032,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-03-MOCK-LOWLAMBDA-EXTENSION
0.35,32,32.0,1024,0.2132,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-03-MOCK-LOWLAMBDA-EXTENSION
0.35,32,32.0,1024,0.2182,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,32,32.0,1024,0.2232,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-MOCK-LOWLAMBDA-EXTENSION|TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,32,32.0,1024,0.2282,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,32,32.0,1024,0.2332,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION|TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,32,32.0,1024,0.2382,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,32,32.0,1024,0.2432,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION|TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,32,32.0,1024,0.2482,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,32,32.0,1024,0.2532,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,32,32.0,1024,0.2632,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,32,32.0,1024,0.2732,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,32,32.0,1024,0.2832,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,32,32.0,1024,0.2932,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,32,32.0,1024,0.3032,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,32,32.0,1024,0.3132,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,32,32.0,1024,0.3232,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,32,32.0,1024,0.3332,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,32,32.0,1024,0.3432,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,32,32.0,1024,0.3532,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,32,32.0,2048,0.2182,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,32,32.0,2048,0.2232,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,32,32.0,2048,0.2282,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,32,32.0,2048,0.2332,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,32,32.0,2048,0.2382,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,32,32.0,2048,0.2432,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,32,32.0,2048,0.2482,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,48,48.0,512,0.2182,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,48,48.0,512,0.2232,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,48,48.0,512,0.2282,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,48,48.0,512,0.2332,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,48,48.0,512,0.2382,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,48,48.0,512,0.2432,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,48,48.0,512,0.2482,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,48,48.0,1024,0.1932,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-03-MOCK-LOWLAMBDA-EXTENSION
0.35,48,48.0,1024,0.2032,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-03-MOCK-LOWLAMBDA-EXTENSION
0.35,48,48.0,1024,0.2132,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-03-MOCK-LOWLAMBDA-EXTENSION
0.35,48,48.0,1024,0.2182,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,48,48.0,1024,0.2232,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-MOCK-LOWLAMBDA-EXTENSION|TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,48,48.0,1024,0.2282,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,48,48.0,1024,0.2332,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION|TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,48,48.0,1024,0.2382,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,48,48.0,1024,0.2432,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION|TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,48,48.0,1024,0.2482,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,48,48.0,1024,0.2532,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,48,48.0,1024,0.2632,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,48,48.0,1024,0.2732,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,48,48.0,1024,0.2832,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,48,48.0,1024,0.2932,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,48,48.0,1024,0.3032,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,48,48.0,1024,0.3132,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,48,48.0,1024,0.3232,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,48,48.0,1024,0.3332,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,48,48.0,1024,0.3432,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,48,48.0,1024,0.3532,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,48,48.0,2048,0.2182,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,48,48.0,2048,0.2232,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,48,48.0,2048,0.2282,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,48,48.0,2048,0.2332,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,48,48.0,2048,0.2382,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,48,48.0,2048,0.2432,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,48,48.0,2048,0.2482,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,64,0.3032,3.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,64,0.3032,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,64,0.3032,12.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,256,0.3032,3.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,256,0.3032,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,256,0.3032,12.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,512,0.2182,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,512,0.2232,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,512,0.2282,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,512,0.2332,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,512,0.2382,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,512,0.2432,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,512,0.2482,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,1024,0.1932,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-03-MOCK-LOWLAMBDA-EXTENSION
0.35,64,64.0,1024,0.2032,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-03-MOCK-LOWLAMBDA-EXTENSION
0.35,64,64.0,1024,0.2132,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-03-MOCK-LOWLAMBDA-EXTENSION
0.35,64,64.0,1024,0.2182,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,1024,0.2232,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-MOCK-LOWLAMBDA-EXTENSION|TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,1024,0.2282,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,1024,0.2332,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION|TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,1024,0.2382,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,1024,0.2432,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION|TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,1024,0.2482,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,1024,0.2532,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,64,64.0,1024,0.2632,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,64,64.0,1024,0.2732,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,64,64.0,1024,0.2832,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,64,64.0,1024,0.2932,6.0,systematic,96,INCOMPATIBLE,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA
0.35,64,64.0,1024,0.3032,6.0,systematic,96,INCOMPATIBLE,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA
0.35,64,64.0,1024,0.3132,6.0,systematic,96,INCOMPATIBLE,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA
0.35,64,64.0,1024,0.3232,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,64,64.0,1024,0.3332,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,64,64.0,1024,0.3432,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,64,64.0,1024,0.3532,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,64,64.0,2048,0.2182,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,2048,0.2232,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,2048,0.2282,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,2048,0.2332,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,2048,0.2382,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,2048,0.2432,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,2048,0.2482,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,2048,0.2932,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,64,64.0,2048,0.3032,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION|TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,2048,0.3132,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-02-MOCK-PRODUCTION
0.35,64,64.0,4096,0.3032,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,64,64.0,8192,0.3032,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,96,96.0,128,0.3032,6.0,systematic,32,INCOMPATIBLE,TASK-2026-09-01-SMCRUCHE-READY
0.35,96,96.0,256,0.3032,6.0,systematic,32,INCOMPATIBLE,TASK-2026-09-01-SMCRUCHE-READY
0.35,96,96.0,512,0.3032,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-01-SMCRUCHE-READY
0.35,96,96.0,1024,0.3032,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,96,96.0,2048,0.3032,6.0,systematic,24,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.35,128,128.0,64,0.3032,6.0,systematic,64,INCOMPATIBLE,TASK-2026-09-01-SMCRUCHE-READY
0.35,128,128.0,128,0.3032,6.0,systematic,64,INCOMPATIBLE,TASK-2026-09-01-SMCRUCHE-READY
0.35,128,128.0,256,0.3032,6.0,systematic,64,INCOMPATIBLE,TASK-2026-09-01-SMCRUCHE-READY
0.35,128,128.0,512,0.3032,6.0,systematic,48,INCOMPATIBLE,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA
0.35,128,128.0,1024,0.3032,6.0,systematic,32,INCOMPATIBLE,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA
0.35,128,128.0,2048,0.3032,6.0,systematic,16,INCOMPATIBLE,TASK-2026-09-03-NC-PLATEAU-CALIBRATION
0.7,32,64.0,500,0.4267,0.0,,1,INCOMPATIBLE,TASK-2026-08-11-ARCH
